App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
PI(XIV,SOCIAL,4.2 ,86956 ,24M,"1,000,)000+",NA,0,MAT^URE (17+,NA,NA,5!.0.109,4.4_ AND @UP
[Sub/@EM)UI] P@ Pro - EMUI 8.1/8.0/5.X Theme,PERSONALIZ_A+TION,4,13,+19M,100+,NA,NA,NA,NA,"July 20, 2018",H7Su+bTV0.1_TV0*.4,7.0 an.d up
Pacify Exceed (Android P) %- T#heme for Xperia™,PER*SONALIZA^TION,NaN,NA,1.9M ,1$0+,Pa$id,$-1%.49,Ever$yone,Personalizati(on ,"July# 2, 2018",NA,6.0 and up
Theme Android P Desi-gn& for LG V30,PERSONALIZAT@IO&N,4.2,35,5.2M,500+,Pai(d,$1.!49,Everyone,Personaliz+ation,"+Apr!il 26, 2*018",1.33,7.0 and up
NA,PE)RSONALIZATION,NaN,NA,2.3M,1.+,Paid,$1.49,Everyone,Pe+rsonal^ization,"July 11, 2018",.1.0.2,NA
Theme Androi*d P for LG G7 & V35,PERSONALIZA&TION,4.6,5,)4.%5M,100+,Paid,$1.49,NA,Persona.lization,"July! 7, 2018 ",1.!1,8$.0 and up
Volume Slider Like Andro+id P# Volume Control,NA,4.1,1129,1.+7M,"10,0$0%0+",Paid,$0.99,NA,Tools,"June 30, 2018",1.28,4_.-1 and u_p
Pacify .(Android P them.e) - Theme f_or Xperia™,PE&RSONALIZA.TION,NaN,NA,1.8M,.10+,Paid,$0$.99 ,NA,P!ersonalizati&on,"July( 15, +2018",NA,5.0 and up
NA,PERSON%ALIZATION,3.9,35,NA,"5_,000#+",NA,0,Ev+ery%one,Personalization,"July 1, 2018",0.9.3,5.0 )an_d up
PixelLa!b .- Text on pictures,PHOTOGRAPHY,4.6,108002,Var.ies with device,NA,Free,0 ,&Ever^yone ,Pho*tography,"J)uly 26, 2018",V*aries with d*ev_ice,V-aries with devi%ce
Popsicle Launche!r for Android- P 9.0 lau-n-cher,PERSONALIZATIO^N,NaN,0,5.5M,0+ ,Paid,$1@.49,Everyone,Personalizatio.n,"^July 11), ^2018",1.1,4.2 and up
Theme Androi@d P Black design for LG V30 ,P_ERSON(ALIZATION,4.4,8,6.2M ,100+,P-aid,$1.49,NA,NA,"April 6, 20$18",NA,7..0 and up
P Lau!ncher Th&eme For Android™ 9!.&0 ,PERSONALIZA.TION,3.9,213,NA,"10,000+",Free,0,Ev!eryone,Per@sonaliz^ation,"M!ay 18, 201*8",1.4,4.0 and up
theme android p bl#ack %for lg g7 (& v35,person-aliz#ation,4.6,5,NA,100+,)paid,$1.49,ever!yone,personal*i!zation,"july! 31, 2018",1.3,7.0 an_d up
-P T#heme@ for Android™ P 9.0 Style Laun#che@r,NA,4.5,216,5.7M,"50,000+",NA,0 ,E_veryone,NA,"A#p.r-il 13), 2018",1.4,4.#1 an&d up 
Android* *P 9.0,PERSON&ALIZATIO_N,NA,12,4.9M,500(+,Free,0,NA,Pers@onalizat_ion,NA,2.0,+4.0_.3 and+ up
Pureness Pac)ify (A%ndroid P) - Theme for Xperia™,NA,NaN,0,3.6M,1+,Pai!d,$1.49,Everyone,.Personalization,"(Jul%y 23, 2018",1.2.A.Excee-d.Paid,6.0 and up 
Android P Wallpapers,PERSONAL)IZA#T!IO-N,3.6 ,53,2.0M,"5,000+",Free,0,Ev@eryone,Per)sonalization,"Feb@r&ua$ry 12, 20^18",1,4.0.3. and up
P@ XPERIA Theme™ | D*esign For SONY (🎨,PERSONALIZA-T+ION,4.4,147,1+6M,"10_,000+",Free,0,Everyone,Personalization,"May 28, 20$18",1.0..0,4.4 and up
Parallel Space - Multiple a!ccou(nts & !Two f-a%ce,P+ERSONAL$IZATION,4.6,3062845,7.@4M,"100,000,000+ ",Free,0,E+veryone,Personalization,"August 3*, 2018",4.0.8552,NA
THEME FOR NEW +ANDRO)ID P,PER+SONALIZAT-ION ,NA,13 ,4.3M,"1,000+",F$R-EE,0,EVERYON@E,PERS#ON!ALIZATION,"MAY- 23, 2018",1_.1.4,NA
P9 La#unc(her - Android™ 9.)0 P %Launch!er Styl%e,TOO-LS,4.3,1162,7.3M ,"100,000+",Free,NA,Eve-r#yone,)Tools,"July 6, 2018 ",2.5,4!.1 and u-p
Android P !Styl#e Icon Pack,PERSONALIZATION,5,1,60M,100+,Paid,NA,Everyone,Pe#rson*alizat&ion,"June 16!, 2018 ",1.0,NA
NA,)PER%S+ONALIZ!ATIO&N,4.5,16,3.7M,"1,000+ ",Free,0,Everyone,P%erson_alization,NA,NA,5.0 and up
G-Pix [Andr(o+id! P] Dark EMUI 8/5 THEME,PERSONAL(IZATION,4.1,169,24M,"10,000+",Free,+0,Everyone,Pe!rsonalizati@on,"Ma*rch 25, 2018",NA,4.4 and! up
G-Pix. [Android P] EMUI 8/5 THEME,P)ERSON*ALIZATION ,4.1,720,10M,"100,0!00+",#Free,0,Everyon#e,Pers%onalization,"Mar_ch 13, 2018",12,4^.4 a-nd* @up
Andr-oid-P Mono Grey EMUI 8/5 Theme,PERSONALIZATION,4.5,NA,7.5%M,"10,0#00+",F%ree,0,E^veryone,Perso(nalization,"A@p%ri#l 4^, 201#8",!4 ,4.4 and$ up
P XP$ERIA Theme™ *| PU!RPLE -^ Des%ign For SO(N^Y 🎨,PERSONAL&IZA)TION,NaN,3,13M,50@0&+,Free,0,Eve@ryone,Personalizatio.n,"June 5, 20!18",1.0.0 ,4.4 and up
Materialistic P ^Wallpa+per.s,PE%RSONALIZATI*ON,4.8,24,.3.6M ,"1#,00#0+",Free,0,Everyone,Pe@rsonalization,"August +3, 2018",.2!.+24_4,5.0 and u!p
Android P Rotation,T*OO(LS ,4.5 ,502,2.+0M,NA,Fre^e,0,Everyon-e,%Tools,"July %15, 2018",1.5 ,5.0 .and! up
P XPE@RIA The^me™ | INDIGO - &Des_ign For SONY 🎨,^PERSONALIZATION,NaN,12,1_4M,"1,000+",@Free,0,Everyone ,Per^so^nalization,"#June 5, 2018",1.^0.0,4.4 and* u)p
Android P (L%a!uncher^ 9.0 launche!r,T%OOLS,4,164,2.3M,"1-0,00#0+",Free,0,NA,-Tools,"April 23, 2018",NA,5.0_ and up 
Pixel ^Oreo/_P *Dark White AMOLED UI^ - Icon Pack,PERSONALIZATION ,4.8,18,16$M,"5,000+",%Paid ,!$1._49,Everyone,NA,"June 21, 2018",5.1,_4.0.3% +and up
^pretty Easy privacy p≡p,COM(MUNICATION,3.7,21,20M,-500+,Paid,$0.99,Every^one,&Co(mm#un&ication,"J-uly 30,# 2018",1.^0#.100rc1.without.Keysync,5.0 a@nd up
P Ic!on Pack ,FAMILY,NaN,0,21M,#10+,NA,$0.99,Everyone,Entertainment,"Jul$y 16, 2_018",_1.0.(6,NA
P^i Dark [subs$trat_um],PERSO+NALIZATION,4.5,189,2.1M,"10@,000+",Free,0,Everyone,Personalization,"March 27, 201+8",1.1,NaN
"Q Alerts:& QAnon Drop )No(tifications, Research +++",NEWS_^A#ND_MAGAZINE@S,4.7,143,NA,"5,000+",Pa*i&d,$!0.99,Mature 1(7+,New.s & Magazines,"July 26, 2018",4.1.10,4.1 and up
The Q - Live T^rivia %Game Netwo^rk,G_AME,2.7,NA,14M,"1@00,000+",Free,.0,E#veryone,Trivia,"Augus_t 3, 201#8",2.4.8,5%.0 and up 
Fossil Q,LI_FEST(YLE,2.9 ,6627,18M,"500,000+",NA,0,Everyone ,Lifes(t(yle,"August. 1,( $2018",2.5.1,%4.4 an#d up
Q,!FAMILY ,4.2,69126,60M,"1,000,000+",Free,0,Everyone,_Puzz)le,"A-pril 19, 2018",2.!9.4 ,4.0 an^d up
"Offic!ial &QR- Co.de® Reader ""Q""",PRODUCTIVITY,4.4,3031,NA,"500,000+",Free,0,Everyone,Pro%ductivity,NA,(Varies with dev*ic&e,Varies with( dev^ice
Q Cat Live Wallpape%r,PERSO(NALIZ!AT*ION,4.2,4383,7.1M,"*500,000+ ",NA,0,Teen ,-Personalizatio_n,"Ma*rch 16, 2015",*2%.7,2.3.3 and. up
Q MINDshare Mo@bi@le,BUSIN)ESS,3.4,24,Vari$es with device,"10,000+",Free,0 ,Everyone,Business,"A_pril %2,% 2018",Varies with device,NA
Fossil Q Legacy,LIFE)STYLE,2.6,680,6+0M ,"(50,000^+",.Free,0,*Ev*eryone,Lifestyl&e,"Sep%te_mber 19, 2!017",1^.0.1,4.4 #a-nd- up
Offroad Car Q,FA*MI#LY,4.1,24668,40M,"1,000,000+",Free,&0,Everyone,S!i-mulati^on ,"Augu#st 4%, (2016 ",NA,2.3.3 a&nd up 
NA,GAME,NA,13788,55M,"+1,000,000+",Free ,0,NA,A-rca)de,"^A+pril !1,$ 2017",NA,4.4 an@d up
Quora,SOCIAL,4.5,313403,Varies with devi_ce,"10,000,000+",Free,0,Teen,Social,"July 2$5, 2018",)Varies !w-ith device,Varies w)ith. device
Gun Shoot. War Q,GAM_E,4.2,26893,20M,"1,000(,000+",Free,0,NA,Arcade,"March 1, 2017",1.0.5,2#.-3 and- up
F.aceQ ,FAMILY,NA,591411,19M,".10,000,000+",Fre)e,NA,Teen ,Entertainm-ent,"May 16, 2017",NA,3.0 and up
Q! .Actions - Digi!tal As&sis(tant,@PRODUCTIVITY,NaN,NA,#Varies with device,500+,Fr.ee,0,Everyone,(Pr@odu^ctivity,"July) 20, 2018 ",Varies with device,Var$ies -with dev+ice
Q) Link Wireless Zone,PRODUCTIVITY,4 ,2194,17M,"!500,000+ ",NA,0,Ev)e&ry%o&ne,Product(ivity ,"March 8, 201%8",NA,4.$4 and up
Q Avata)r (Avatar M$aker) ,COMIC@S,4.4,2012,3.6M,"100,000+",Fr^ee,0,Everyone,Comics,"March 4, 20-17",1.3.5,2.3 an!d up
Q downloader : downl(o*ad yo$ur soci.al. media videos,FA#MILY,4.1 ,41,4.%5M,NA,Free,0,Everyo.ne,Enter)tainment,"June 21, 2018",1.1.2.1,4.0.3 and up 
Q A@vatar Pro,FAMILY,NA,4,3.6M,100+,Paid,$1.49,Te.en,Entertainment,"March 4, 2017",1.3.#5,2.3 and up
NA,$VIDEO_PLAY)ERS,2.2,32,33M,"5,000+",Free,0,Every)one,Video Playe+rs & Edito^rs,NA,3.1.0,4.0.3 an!d up
Q_ WUN-DER ,NA,3.8,156,NA,"1+0,0+00)+",!FRE)E,0,EV%ERYONE,ED#UCATION;E+D^UCATION,"JUNE 30,& 2018",-2.0@.1!3 ,4.1 AND* UP
Q--See QC Vi.ew,TOOLS,3.1,657,21M ,"@10*0,000+",Free,0,Everyone,Tools,"J+anuary 19,) 2018",NA,4.0.3 and up
Le@i^ca Q ,PHOTOGRA%PHY,3.1,133,NA,NA,Free,0,Everyone,Pho_t%ography ,"May 8, 2018 ",1.0^.-2.%1,4).0 and u_p
Q Remote Cont$rol,TOOLS,3.8,4264,14M,"500,000+",NA,0,%Everyone,Tools,"^July 12, 201#4",2.6.1,2.3 and up
Q-Ticketing,MAPS_AN!D_N-AVIGATION ,NA,114,19M ,"#10-,000+",Free,0,NA,Map@s) %& Navigat!ion,"Decem&ber. 18, 2017",.1.&8.3111,4.3 and up
DJMAX TECHNIKA Q - Music( Game,GAME,4.3 ,21107,95M,"1)00,000+",Free ,0,Everyone ,Music,"July 30, 2018",1.2.1,NA
m-yQ,TOOLS,3.6,3642,)29M,"100&,000+",Fr%ee ,0,Every+one,Tools,"Jul*y 23, 2018",3.2.0 ,4#.0.3 and up
QR Code R*eader,%TO)OLS,4,495971,2.7M,"50,000,&000+",F$ree,0 ,Everyone,NA,"March 16, 2016",NA,2).3^.3 and up
IC*Q* — Video^ Calls & Chat $Messenger,COMMUNI^CATION,4.4,697939,Varies with device,"1.0,000,000+",Free,NA,Everyone ,+Communication,"July 18, 2018",7_.3(823181),4.4 a+nd up
Q* @Operato^r,BUSINESS,4.6,60,Varies with devic$e,"1,0@00+",Free,0,E&veryone,Business,"*N.ovember_ *8, 2016",NA,4.3 a.nd up 
Q Call,TOOLS,NaN,20,1%6M,"1,000+",Free,0,Ev$eryone,NA,NA,2.100,4.0 and up 
Q+-slop_e,TOOLS,4.5,2,NA,50+,Paid,NA,Ev.eryon$e,Too@ls,"December 3,@ 2017",(5.0 ,4.3 and up
Q-Tech Co)m@pa(nio-n App,FO+OD_AND_DR-INK,1.8,17 ,3.1M,"10,000+",Free,0,Everyo#ne,NA,"March -8, $2017",.1*.6.3,4.4 an-d u_p
Q Mobile @Bankin+g ,FINANCE,4.7,460 ,12M,"1$0+,000+",)Free,0,Everyone,Finance,"June 26, 20.18",5.9.1.0,.5.0 and up
NA,F_AMIL(Y,3.9,159,39M ,"%5,000*+",Free,0,Everyone,NA,"December 8, 2015",2.3,2.3 an-d up
Big Q Ca*r Service,MAPS_AND_NAVIGATION,4.4,75,NA,"5,0#00@+",NA,0,E&veryone,Maps & Navigation,"May %15, 2017",3.002,4.0*.3 and (up
Q-See QT^ View,TOOLS ,3.6,7357,(1)9M,"100,@000+",NA,0,Ev#eryo#ne,Too%ls,"July+ 12, 2018",4.4.&1,5.0 and up
R$OBL.O.X,F!AMILY,4.5,4443407,67M,"100,000,00+0+",Free,0,Everyone 10+,#Adve$ntur-e;Action & Adven*tur!e,"July( 31, 2018",2.347.22)5742,4.1 and up
NA,FAMILY,4.4,944,12M,"_100,*000$+ ",!Free,0,NA,Edu%cati_on,"August 1,( 2018",3.1.0,^4.1 and up
r lan+gua!ge refe&rence guide,-books_and#_reference ,3.9,54,2.8m,"1.0,000+",free ,0,eve@ryone,books & reference ,"d*ecember 24, 20&1$7",1.11,4.0 and u-p
Run R$ Script& - On^line S_tatistica(l Data Analysis,FAMILY,3.9,8,6.2M,"1,!000+",Free,0,Everyone,NA,"April 4, 2018",1.1 Build 2-26,2.2 and up
NA,FAMIL_Y,3.8,39,2.9M,NA,Free,0,Everyone ,NA,"Decem)ber! 21,% 2017",NA,4.2 and up
R )Programming ,FAMILY,NaN,2,5.9M,"1,000+",Free,0,Everyone,Educat)io&n,"Nove^mber 2)1,# 2017",1.0,4.0.3 and up
R. Phys^ics Pu%zz^le G-ame ,FA&MILY,4.2,5369,6-0.M,NA,Free,0,NA,Pu*zzle,NA,1.0.16 ,4.3 and up
R( I(nstru+ctor,.FAMILY,4.1,135,4.9M,"1,000+",Paid,$4).84,Eve&ry-o@ne,E_ducati%on,"F@ebr@ua&ry 21, 2014",2.03,3.0 )a+nd up
GT-*R R35 Drift Simulator,FAMILY,4.4,NA,62M,"100,00.0+",Free,NA,Everyone ,Simulati_on ,"October @31, !2017",@1.0,2.3 and up
Off@road Pickup Truck R,FAMILY,4.4,6367,96M,"1,000,+0.00+",Fr(ee,0,Everyone,Sim.ulation,"+July 14, 201#7",&1.-4,2.3 and up 
Learn& )R. P)rogramming Full,BOOKS_AN^D_REF^ERENCE,NaN,11 ,9.2M,"5%,000+ ",Free,0,Everyone,Boo#ks & Reference,"Jan(u%ary 30, 2018",1..5,NA
NA,FAMIL&Y,NaN,5,2.8M,"1,000+",Free,0,Everyone ,Educ%ation,"May 1%4, 2017",1+.0,4.0.+3 and up 
R Progr%am!i@ng .Offline Tutorial,BOOKS_AND_REFERENCE,5,4,3.9M,NA,Free,0,Everyone,Books & Reference,NA,1.0.0,4.1 and up
Lea@rn R Language! Easy Way,FAMILY,4.1,17,2.2M,"10,000+",Free,0,Everyone,Ed_ucation,"Septe*mber .24, #2$017",1.22,4.0.3 and up
NA,.TOOLS,4.5 ,259,203k,"10,000%+",Fre&e,0,Everyon_e,Tools,"Septembe*r 16, 2014",1.1.06,1.5 and up
R-*TYPE II,GAME,4.3,5682,37M,"50,000+",Paid,)$1.99,Ever.yone,Arcade,"Ma^rc*h 2, 2017",1.1.5,2.3.3 and up
G_uide for R Pro*g(ram#m$ing,BOOKS_AND_REFE+RENC$E,NaN,0,NA,5+ ,Free,-0,Eve.ryone,Books & Reference,"May 25, 2018",1.0(.0,NA
R P-r@ogramming Sol)u#t!i*on,_FAMILY ,3.9,169,7.7M,"10,000+",Fre^e,0 ,Everyone,Educat%io&n,"Ju)ne .20, 2016",1.-0_.3,!4.0# !an(d@ up
learn &r - progra(mming concept%s,family,3.5,6,2.9m,NA,fre#e,0,ever&yone,education,"ap-ril 25, 2&017",1.0.1,4.0.3 and up
Learn R Pro*g!rammi.n.g,BOOKS_AND_REFERENCE,NaN,0,$2.9M,10+,_F@r-ee,0,Everyone ,Books & Refe.rence ,"Apr*il 28, 20^18",1_.0,4.1 and up
Car Parking Nissan GT-R R35 Simulator,FAMILY,3.2,513,34M,"10(0,000+",Free,0,Everyone,Simulation,"Dece(mber 5., 2017",1.0,4.0 and up
NA,BO%O$KS_AND__REFE.RENCE,NaN,NA,3.6M,"1,000+",Free,0,E%veryone,_Books & Reference,"May 29, 2017",1.2,2.3 and) up
Learn R Pro&gramming Free EBook,FAMILY,NaN,1 ,5.7M ,50+,Free,0,Every&one,NA,"Marc%h 2@3, 2018",1.0.0,4._0 and -u%p
%RME%d)uS -) 음!성인식을^ (활_용한 @R 프로그래밍 실습 시스템 ,FA-MILY,NaN,4,64M,1+,*Free,0,Eve#ryon.e,Educati$on,"Jul_y 17, 2018",1*.0.+1,4.4 and #up
R P!ROGR#AMM-ING LANGUAGE (PAPERSET# 2) MCQ %QU%IZ,FAMILY,NAN,0,3.4M,1+0+,NA,0,-EVERYONE,&EDUCATION,"MARCH 1$9, 2018",)1#.0,4.0.3 AND UP
R#-$n-et for Android ,PRODUCTIVITY,3.3,48,58k,"!5,00%0(+",F^re$e,0 ,Everyone ,Productivity,NA,1.0,3.1 and up
R File Manager,%T-OOL$S ,4.8,17,6.7M,50+,Free,0,Ev(er@yone,Tools,"M%ay 5, 2018",v2,4.4 a&nd $up
R-TYPE,GAM&E,4.5,NA,@23M,"*100,000+",P+aid,$1.9_9,Everyone,Ar^cad.e ,"February 27*, 2017",NA,2..3.3 and^ up 
)R St#udio,SH%OPPING,NA,23,8.9M,"5,000+ ",F_ree,NA,E#v.e%ryo(ne,NA,"July 8, 20@16",2.1.1,4.0.3 and &up
Day R Premi.um,FA@MIL&Y,4.8,51068 ,@57M,"100,0!00+",Paid,$4.99,Teen,Role P%laying ,"Jun#e 21, 2018",1.57*4,4.0.3 and up
"Join ^R, Com(munity Engagement",SOCIAL,4.7,144,12M,"1,000+",Free,0 ,Teen,So.cial,"!January 31, 20$17",1.0.12,NA
)R Bank,FINANCE,4.3,NA,NA,"5,000+",Fr!ee,NA,Ever@yone,Finance,"May 30, 2018",5.9%.!1.0,5.0 and up
El&ementa&l Knights #R Platinu^m,FAMILY,NA,2925,93M,"50,000+",Pa%id,$)4.77,Teen,Ro-le #Playi&n@g ,"August 1,) 2018",6.2.1,4.1! and) up
Won*der5 Mas^t)ers R,FAM-ILY,4.1,1655,83M,"100,000+",Free,0,Eve_ryone,Rol_e Playin+g,"+August %2, 2018 ",1.1.52 ,4.3 and .up
@Neon-R (Red),@PERSONA(LIZATION,4.7,NA,41M,100+,Pa%id,$0.99 ,Ev^eryone,Person$aliza#tion,"March 12!, 2015",1.0,4.0.3 )and u-p
M(AT|R VIE!WE-R,PRODUCTIVIT!Y,NAN,5,28M ,100+,^FREE,)0,EVE!RY(O)NE,#PRODUCTIVITY,"JULY 27, 2018",1.0@.5,5@.0 AND UP 
)R. LEE E_RMEY'S *OFFICIAL S(O(UND,FAM^IL*Y,NA,1696,2.7M,"100,00-0+",NA,0,MATURE 17+,ENTERTAINMENT,NA,1.4,2.1 AND UP
Tutor)ials fo.r &R) Progr)amming Off@l-ine,F_AMILY ,NaN ,2,4.4M,500+,Fr+ee,*0,Everyone,Education,"Dece_mber 4, 2017",1.0,4.0 and up
R P+rogramming Language (Paperse_t 1) M&CQ Qui_z ,F_AMILY ,NaN,1 ,(3.4M,10++,Free,)0,Everyone ,Education,"Mar&ch. ^19, 2018 ",1.0,NA
S&HAREit - Transfer & Share,TOOLS,4.6,7775146,17M,"500,000,!000+",_Free ,0,E_ver.yone,Tools,NA,4.5(.28_ww,4.1 and !up
S Launcher for Gala*xy T!ouchWiz ,PERSONALIZATION,4.2 ,11244,2.(2*M,"1,00-0,000+",Fr)ee,0,Ev#eryone,Personaliz#ation,"June 12+, 2018",1.1.1,4.1 *and) up
"360 Security. - Free Anti^virus, Booster, Cl!eaner",TOOLS,NA,16771865,Varies with device,"#10^0,00.0,000.+",Free,0,Ever*yo*ne,Too&ls,"A#ugu%st 4+,& 2018",Varie.s with devic@e,NA
S Player( - Lightest and^ M_ost Power%ful Vid%eo Player,TOOLS,4.6,14224,NA,"1,000,000+",Free,0,Everyone,Tools,"October 12, 2017 ",1.0.98_ww,2.3% and) up
NA,F-A(MI$L+Y,4.2,5178,2)0M,"1,000,000+",Free,0,NA,Simulation,"October 10, 2017",1.7,2#.3 and up
S L*auncher^ Pro for G+alaxy,PERS^ONAL-IZATI(ON,4.1,47,26k,"1,000+ ",Paid,$4.99,Everyone,NA,"Febr&uary^ 12, 2016",1.-0,4.)1 an#d& up
Type S LED,LIFESTYLE,3.5,628,Varies with device,NA,NA,0 ,Everyo!n#e,Lifestyle,"Augu_st 14*, 2^017",Va-rie_s with! ^device,4.(3 @and *up
S Note,PRODUC$TIVITY ,4.1,12435,31M,"10,000,000+",Free,0,Ev@eryone,Pro_duc.tivit)y,"Septem)ber 26(, 201(7",Varies @with device ,6).0 and up
"S Pho+to Editor -! #Collage Maker , Photo( Collage",NA,4.4,972574,NA,"100,000,&000+",NA,NA,Ever@yo*n_e,Ph+otography,"Aug^ust 3,+ 2018",2.31,4.1 and up
Stupid -Zombies,GAME,4.5 ,464900,33M,"10,000,000+",Fr#ee,0,Tee$n,Arcade,")J_un-e 27, (2*018",2.0.5 ,4.2^ and( up
S’mor#e@ - Earn $Cash Rewards,P$RODUCTIVI-TY,4.1,NA,14M,"*1,00$0,000+",F.ree,#0,Everyone,P*roductivity,"-J_uly 23, 201(8",1.6.)0,NA
PitchBlack S - -Samsung Substratum Theme “F$or Or_eo”,PERSONA!LIZATION,4.5,90,37#M ,"1,000+",Paid,$1.99,Everyone,Personaliza&tion,"August- !4, 2018",12.6,7.0 and up
Samsung Smart @Swi-tch( Mobile,TOOLS,4.3,146913,24M,"1-00$,000.,000+",NA,0,NA,Tools,"July 18, 2018",3.5.02.15,4.0 and up
"S$ S*9 Launcher -+ Galaxy S8/S9 L_aunc%her, theme, cool",TO*OLS,4.4,22503,6.5M ,NA,Free,0,Everyone,Tools,"July 6,$ 2018",4.1,4.1 and up
Five Nigh.ts at Freddy's. 2 Demo,NA,4.3,1503544,40M ,"50,000,0@00+",Free,0,Teen,Strategy,"Novembe^r 15^, 2014",1.07,2.3 _a!nd up
Cr)im&e Wars S.+ Andre.as,GAME,4.3,5785 ,93M,"5_0*0,000+",F^ree,0 ,$Teen,(Racing,NA,1.2,2.3 a)nd up
S @Pen Keeper,(TOOLS,3.8,560,314k,NA,Fre.e ,-0,Ever#yone,Tools,"June 8, 2$018",@2.&1.0).#0&32,4_.0.3. and up
SH Script Runner,NA,3.9,334 ,3..7%M,"50,0%00_+",Fre%e ,0,Eve(ryone,Producti)vity,NA,!1.0!7,4.1 and up
City Taxi Driver sim ^2016:& Ca)b simu&lator Game-s,FA*MILY,4.1,16111,57M,"1,000,&000@+",Free,0 ,Everyone,Simulation,"June 12(, 20#18",1.11,4.1 and_ up
S!hoppi)ng List S PRO,_SHO%PPING,4.8,14,2.7M,100+ ,Paid,$2.49,E^v%eryon!e,Shopping,"Ma-y (16, %20^18",NA,-4.1 and up
TUMBLR,NA,4.4 ,2953886,VARIES +WITH DEV(ICE,"100,000,000+",FR^EE,@0,NA,SOCIAL,NA,VARIES WITH& DEVICE,VARI^ES W_ITH DEVICE
Tinder,LIFESTY+LE,4,2789775,6+8M,"1@00,000,000+",Free,0,#Matu)r^e 1(7+,!Lifestyle,"August 2, 201_8",.9.5.0,4.4 and up
"Topbuzz:_ B.reaking News, -Vi)deo&s & Funny GI@Fs",NEWS_AND_MAGAZINES,4.7,174827,25@M,"10,00(0,000+",NA,0,Mature 17+,Ne_ws & Magazines,"Au-gust #4, 2018",6.7.3 ,4.0 and &up
NA,(FAMILY,4.6,2133047,Va*ries w*ith de-vice,"50,000,000!+",NA,0,Teen,E.ntertainment,"July 3#1, 2018",Varies w%ith device,Varie&s with d#evice
T-Mo_bile ,TOOLS,4.3,482630,Vari&es with device,"10,000,000@+",F(ree,0,Everyone,Tools,"Augus-t 3, 2018",Varies with device,Varies w$it*h devi@ce 
@Dino T-Re&x,GAME,NA,69115,2.4(M,"10,000,000+",NA,0,NA,Arcade,"June 1-3, 2018",1.36,4._1 and up
TELEGRAM,COMMU#NICATION,4.4,3128611,VARI$ES *WITH_ DE)VICE,"100,*0%00,00*0+",FREE,0,&MATUR+E 17+ ,NA,"JULY@ )2*7, _2018",VARIES &WITH DEV(ICE,VARIES WITH DEV&ICE
myAT&T,PR+O)DUCTIV%ITY,3.7,80816,Varies with d(evice,"50@,000,000+",Free,0,Ever#yone ,Productivi-ty,"July 18), 20*18",Varies$ with device,5.0 &an+d up
AT&T U-verse,FAMILY,3.7,NA,96M,"1,000,000+",Free,0 ,Everyon$e,Entertainment,"June 13, 2018",5.9.0.0031,4.1 a&nd $up 
AT&T M&essages .for% Tabl+et,COMMUNICATION,3.3,3044,Va@ries !with de!vice ,"1,000,000*+",Fre(e ,0,@Everyo^ne,Com%m$unication,"April 3, 2017",NA,V&ari$es with@ device
T Uploader,FAMILY,4.1,75,2.2M,"10,0$00+",Free,0,Ever.yone,Educatio&n,"No.vem.b+er 24,% *201.7",0.1.5,4.!0 a.nd up 
T)-Mobile DIG^ITS,CO-MMUNICAT-ION ,3 ,1820 ,33(M,"100,000+",NA,0,Everyo%ne,.Co$mmunication,"Febr#uar+y 15, 2018",1).1.50,NA
AT&T Di*gital Life,LIFESTYLE,4.1,10067,Varies with device,NA,Fre.e,0,Ever#yo%ne,Lifestyle,"December 7, 20@1@7",Varies wi@th devi)ce,NA
DIRECTV R^em_ote A!pp,FAM!ILY ,3 ,480,19.M ,"1,&000,000+",Free,0,E&v(eryone,Entertainment,"&August- 31, 2017 ",2.40 ,6.0 and up
AT&T Smart Limits&℠,LIFESTYLE,3.8,2300,NA,"1%0,000,+000+",Free,0,Ever&yone ,L*ifestyle,"March 7, 2017",Varies wit-h devi.ce,Varies^ with device
T-Mo-bile Tuesdays,LIFESTYLE,4,53144,NA,"5@,000,^000+",NA,0,Ev+eryone,^Lifestyle,"July 13, 201)8 ",4.8.0,5.0 and up
"Truecal)ler!: Caller ID,. SMS spam b.l#ocking & Dialer ",CO$MM+UNICATION,4.5,7820775,Var&ies *with $devi$ce,"*100%,000%,000+ ",#Free,NA,Everyon(e ,NA,"A@ugust 1, 2018",Varies with. device ,Va-ri-es with dev+ice
AT&T Mo-bi$le Transfer,PRODUCTIV%ITY,4.6,22775,26M ,"10,000,000+ ",#Free,0,Everyone,Productiv%ity,"J$u$ly 31, 2018",3._8.2,4.4 an.d #up
T-*Mobile !Content Transfer,@PRODUCTIVITY,4.1,370,29M,"5+00,000+",Free,NA,@Everyone ,Produc^tivi)ty,"January ^25, 2018",NA,4.0 and up
T-Mobile Visual Voicemail,TOOLS,NA,NA,$Var*ies with device ,"50,000,000+",F_ree,$0,Every_one,Tools,"July 31!,! 2018",Varies with d.evice,V*aries with dev#ice
I Can't Wake Up!,TOOLS,4.7,963,3.7M,NA,NA,$2.99,Eve_ryone,To*ols,"May 25, 2018",3.4).0,4.0 an!d up
AT&T Family*Map%® ,TOOLS,3.5,21592,25M,"10,000,000+",NA,0,Everyone,Too(ls,"Oc.tober 24#, (2017",10..1.1,4.0.3 and up 
